blackbird,time,Antibody
1,Before,4.65396035
2,Before,3.912023005
3,Before,4.912654886
4,Before,4.49980967
5,Before,4.804021045
6,Before,4.882801923
7,Before,4.875197323
8,Before,4.779123493
9,Before,4.976733742
10,Before,4.86753445
11,Before,4.753590191
12,Before,4.700480366
13,Before,4.927253685
1,After,4.442651256
2,After,4.304065093
3,After,4.976733742
4,After,4.454347296
5,After,4.997212274
6,After,4.997212274
7,After,5.010635294
8,After,4.955827058
9,After,5.017279837
10,After,4.727387819
11,After,4.770684624
12,After,4.59511985
13,After,5.010635294
