substance,conc,rep1,rep2,rep3,rep4,rep5
NaCl,300,97.4,97.3,98.4,93,91.2
NaCl,250,97.3,97.9,96.9,92.1,95.8
NaCl,200,96.2,93.8,97.3,91.7,93.9
NaCl,150,94.8,93.4,95.4,90.6,95.1
NaCl,100,10,29.5,11.1,17.7,16.9
NaCl,50,0.7,1.1,5.9,6.2,1.6
NaCl,0,0.1,0.5,1.3,1.2,0.6
Sucrose,300,97.2,98.5,97.6,96.5,98.3
Sucrose,250,97.3,96.1,90.7,84.4,98
Sucrose,200,97.4,54,76.7,62.9,83.4
Sucrose,150,9,8.6,8.7,7.6,11.3
Sucrose,100,1.5,0.7,0.7,0.5,0.9
Sucrose,50,0.7,1,0.7,0.5,0.4
Sucrose,0,0.5,0.8,0.4,0.3,0.2
CaCl2,300,99.3,98.2,96.2,92.9,97.7
CaCl2,250,98.5,98.6,96.7,94.3,97.1
CaCl2,200,94.6,90.6,85.8,96.5,95.8
CaCl2,150,94.4,93.2,94.4,92.1,93
CaCl2,100,91.3,91.1,91.2,94.3,94.3
CaCl2,50,0.3,0.7,0.9,0.8,3
CaCl2,0,0.5,0.5,1,0.3,0.5
