river,location,total_p
1,Upstream,11.59235095
2,Upstream,11.21143136
3,Upstream,10.09029761
4,Upstream,11.12034201
5,Upstream,10.48070909
6,Upstream,10.40215512
7,Upstream,11.74989594
8,Upstream,11.102227
9,Upstream,10.23872881
10,Upstream,10.69887503
1,Downstream,12.65335869
2,Downstream,12.17335019
3,Downstream,11.88909248
4,Downstream,11.90677677
5,Downstream,12.14647168
6,Downstream,12.49386778
7,Downstream,13.54755305
8,Downstream,11.42028883
9,Downstream,14.5225466
10,Downstream,13.23888626
