height_cm,head_circum_cm,Number_of_siblings,Dominant_hand,Dominant_foot,Dominant_eye
157,55.5,1,r,r,r
165,56,3,r,r,r
165,55,0,r,r,r
163,57,2,r,r,r
173,60.5,1,r,l,l
170,56,1,r,r,r
168,56,2,r,r,l
157,59,3,r,r,r
159,55,1,r,r,r
182,59,3,r,r,l
163,55,2,r,r,r
168,56,2,r,r,r
167,57,1,l,l,l
163,54,0,r,r,r
181,59,2,r,r,l
165,53,1,r,r,l
170,56,3,r,r,r
183,63,0,r,r,r
158,55,1,r,l,l
167,56,2,r,r,r
165,24,2,r,r,r
177,56,3,r,r,r
174,59,4,l,l,l
160,55,1,r,r,r
177,55,0,l,r,r
165,57,2,r,r,l
175,60,1,r,r,r
182,24,1,r,l,r
180,22,1,r,r,r
193,58,1,r,r,r
180,56,1,r,r,r
160,55,2,r,r,r
180,59,1,r,r,r
168,55,3,r,l,l
180,57,2,r,r,r
163,56,1,r,r,l
175,60,1,r,r,r
183,56,2,r,r,r
175,59,2,r,r,r
162,58,0,r,r,l
170,58,1,r,r,l
175.3,57.5,0,r,r,r
175,58,3,r,l,r
180,59,1,l,l,l
173,57,3,r,r,r
167,59,2,r,r,r
180,56,2,r,r,r
167,59,4,r,r,l
162,55,2,r,r,l
175,58,1,r,r,l
175,60,2,l,l,l
155,55,1,r,r,l
175,58,6,r,r,r
178,59,2,r,r,l
184.2,60,0,r,r,r
162.5,55,2,r,r,r
187,58,3,r,r,r
155,54,3,r,r,r
173,55.6,1,r,r,r
160,54.3,1,r,r,r
165,57.2,3,r,r,r
163.85,56.4,2,r,r,l
182,60.2,1,r,r,r
182.88,57.1,1,r,r,r
177.8,58.4,1,r,r,r
195,58,2,r,r,r
170,55.5,1,r,r,r
183,57.5,1,r,r,l
182,57,2,r,r,l
160,55.5,2,r,r,r
180.3,58.5,0,r,r,l
168,55.6,2,r,r,r
160,55.5,1,r,r,r
157,56.5,2,r,r,r
177,58.5,1,r,r,r
183,57,2,l,l,r
170,57,1,r,r,l
172,57,2,r,r,r
172,56,2,r,r,r
177,59,1,r,r,r
165,55,2,r,r,l
165,55.5,1,r,r,l
169,55,1,r,r,r
176,54,1,r,r,r
180.3,58.5,2,r,r,r
182,57,1,l,r,r
160.02,21,1,r,r,l
192,22,5,r,r,r
180,58,0,r,r,r
166.4,56.5,2,r,r,r
173,57,1,r,r,r
175,58,4,r,r,r
165,59,2,r,r,r
185,59,2,r,r,r
167,56,3,r,r,r
180,57,3,r,r,l
173,58.5,2,r,r,r
184.2,59.2,3,r,r,r
162.3,54,2,r,r,r
172,57,1,l,r,l
171.45,57.5,1,r,r,r
168,61,2,r,r,r
185,58.7,1,r,r,r
160,57.5,2,r,r,l
197,58,2,r,r,r
165,55,1,r,r,r
178,58.7,1,r,r,l
173,59,1,r,r,r
176.5,59.4,1,r,r,l
165,57,1,r,r,l
183,58.7,5,r,r,r
185,61,1,r,r,r
170,58,2,r,r,l
160,55,2,r,r,l
172,57,4,r,r,r
156,56.5,2,r,l,l
168,56,0,r,r,r
163.5,57.5,2,r,r,r
177.5,57.5,2,r,r,r
182.4,58,1,r,r,r
163,57,2,r,r,r
167.5,58,1,r,r,l
171.5,56.5,4,r,r,r
173,56,1,r,r,l
183,56,2,r,r,r
165.1,53.5,1,r,r,r
150,57.2,2,r,r,r
180,59,3,r,r,r
160,57,1,r,l,r
185.5,58.5,1,r,r,r
162.5,54.5,1,r,r,l
170.18,57,2,l,l,l
165.1,59,4,r,r,r
183,59,3,r,r,l
210.8,62,0,r,r,r
184.5,58.1,1,l,l,l
164,54.5,1,l,r,r
188,60,2,l,l,r
167.64,56,1,r,r,r
179.83,59.5,1,r,r,r
159,55,1,l,r,l
167,58,2,r,r,r
179,57,3,r,r,r
182,56,2,l,l,r
185.42,58,1,r,r,l
159,55.2,1,r,r,r
165.1,54.5,1,r,r,l
168.5,61,2,r,r,r
186,58.5,2,r,r,l
166,54.5,3,r,r,r
152,57,1,r,r,l
170,59,1,l,r,r
161,56.5,2,r,l,r
156,55,2,r,r,r
