height_cm,head_circum_cm,Number_of_siblings,Dominant_hand,Dominant_foot,Dominant_eye
172,57,1,Left,Right,Left
182,56,2,Left,Left,Right
184.5,58.1,1,Left,Left,Left
170,59,1,Left,Right,Right
183,57,2,Left,Left,Right
174,59,4,Left,Left,Left
170.18,57,2,Left,Left,Left
188,60,2,Left,Left,Right
177,55,0,Left,Right,Right
159,55,1,Left,Right,Left
175,60,2,Left,Left,Left
167,57,1,Left,Left,Left
164,54.5,1,Left,Right,Right
182,57,1,Left,Right,Right
180,59,1,Left,Left,Left
167,58,2,Right,Right,Right
160,55,1,Right,Right,Right
173,58.5,2,Right,Right,Right
157,55.5,1,Right,Right,Right
165.1,53.5,1,Right,Right,Right
179,57,3,Right,Right,Right
186,58.5,2,Right,Right,Left
180,57,3,Right,Right,Left
182,60.2,1,Right,Right,Right
159,55.2,1,Right,Right,Right
162.3,54,2,Right,Right,Right
177,56,3,Right,Right,Right
155,54,3,Right,Right,Right
168,56,0,Right,Right,Right
175,58,6,Right,Right,Right
