passenger_class,name,age,embarked,destination,sex,survive
1st,"Allen,MissElisabethWalton",29,Southampton,"StLouis,MO",female,yes
1st,"Allison,MissHelenLoraine",2,Southampton,"Montreal,PQ/Chesterville,ON",female,no
1st,"Allison,MrHudsonJoshuaCreighton",30,Southampton,"Montreal,PQ/Chesterville,ON",male,no
1st,"Allison,MrsHudsonJ.C.(BessieWaldoDaniels)",25,Southampton,"Montreal,PQ/Chesterville,ON",female,no
1st,"Allison,MasterHudsonTrevor",0.9167,Southampton,"Montreal,PQ/Chesterville,ON",male,yes
1st,"Anderson,MrHarry",47,Southampton,"NewYork,NY",male,yes
1st,"Andrews,MissKorneliaTheodosia",63,Southampton,"Hudson,NY",female,yes
1st,"Andrews,MrThomas,jr",39,Southampton,"Belfast,NI",male,no
1st,"Appleton,MrsEdwardDale(CharlotteLamson)",58,Southampton,"Bayside,Queens,NY",female,yes
1st,"Artagaveytia,MrRamon",71,Cherbourg,"Montevideo,Uruguay",male,no
1st,"Astor,ColonelJohnJacob",47,Cherbourg,"NewYork,NY",male,no
1st,"Astor,MrsJohnJacob(MadeleineTalmadgeForce)",19,Cherbourg,"NewYork,NY",female,yes
1st,"Aubert,MrsLeontinePauline",NA,Cherbourg,"Paris,France",female,yes
1st,"Barkworth,MrAlgernonH.",NA,Southampton,"Hessle,Yorks",male,yes
1st,"Baumann,MrJohnD.",NA,Southampton,"NewYork,NY",male,no
1st,"Baxter,MrsJames(HeleneDeLaudeniereChaput)",50,Cherbourg,"Montreal,PQ",female,yes
1st,"Baxter,MrQuiggEdmond",24,Cherbourg,"Montreal,PQ",male,no
1st,"Beattie,MrThomson",36,Cherbourg,"Winnipeg,MN",male,no
1st,"Beckwith,MrRichardLeonard",37,Southampton,"NewYork,NY",male,yes
1st,"Beckwith,MrsRichardLeonard(SallieMonypeny)",47,Southampton,"NewYork,NY",female,yes
1st,"Behr,MrKarlHowell",26,Cherbourg,"NewYork,NY",male,yes
1st,"Birnbaum,MrJakob",25,Cherbourg,"SanFrancisco,CA",male,no
1st,"Bishop,MrDickinsonH.",25,Cherbourg,"Dowagiac,MI",male,yes
1st,"Bishop,MrsDickinsonH.(HelenWalton)",19,Cherbourg,"Dowagiac,MI",female,yes
1st,"Bjornstrm-Steffansson,MrMauritzHakan",28,Southampton,"Stockholm,Sweden/Washington,DC",male,yes
1st,"Blackwell,MrStephenWeart",45,Southampton,"Trenton,NJ",male,no
1st,"Blank,MrHenry",39,Cherbourg,"GlenRidge,NJ",male,yes
1st,"Bonnell,MissCaroline",30,Southampton,"Youngstown,OH",female,yes
1st,"Bonnell,MissElizabeth",58,Southampton,"Birkdale,EnglandCleveland,Ohio",female,yes
1st,"Borebank,MrJohnJames",NA,Southampton,"London/Winnipeg,MB",male,no
1st,"Bowen,MissGraceScott",45,Cherbourg,"Cooperstown,NY",female,yes
1st,"Bowerman,MissElsieEdith",22,Southampton,"StLeonards-on-Sea,EnglandOhio",female,yes
1st,"Bradley,MrGeorge",NA,Southampton,"LosAngeles,CA",male,yes
1st,"Brady,MrJohnBertram",41,Southampton,"Pomeroy,WA",male,no
1st,"Brandeis,MrEmil",48,Cherbourg,"Omaha,NE",male,no
1st,"Brewe,DrArthurJackson",NA,Cherbourg,"Philadelphia,PA",male,no
1st,"Brown,MrsJamesJoseph(MargaretMolly""Tobin)""""""",44,Cherbourg,"Denver,CO",female,yes
1st,"Brown,MrsJohnMurray(CarolineLaneLamson)",59,Southampton,"Belmont,MA",female,yes
1st,"Bucknell,MrsWilliamRobert(EmmaElizaWard)",60,Cherbourg,"Philadelphia,PA",female,yes
1st,"Butt,MajorArchibaldWillingham",45,Southampton,"Washington,DC",male,no
1st,"Calderhead,MrEdwardP.",NA,Southampton,"NewYork,NY",male,yes
1st,"Candee,MrsEdward(HelenChurchillHungerford)",53,Cherbourg,"Washington,DC",female,yes
1st,"Cardeza,MrsJamesWarburtonMartinez(CharlotteWardleDrake)",58,Cherbourg,"Germantown,Philadelphia,PA",female,yes
1st,"Cardeza,MrThomasDrakeMartinez",36,Cherbourg,"Austria-Hungary/Germantown,Philadelphia,PA",male,yes
1st,"Carlsson,MrFransOlof",33,Southampton,"NewYork,NY",male,no
1st,"Carrau,MrFranciscoM.",NA,Southampton,"Montevideo,Uruguay",male,no
1st,"Carrau,MrJosePedro",NA,Southampton,"Montevideo,Uruguay",male,no
1st,"Carter,MrWilliamErnest",36,Southampton,"BrynMawr,PA",male,yes
1st,"Carter,MrsWilliamErnest(LucilePolk)",36,Southampton,"BrynMawr,PA",female,yes
1st,"Carter,MissLucilePolk",14,Southampton,"BrynMawr,PA",female,yes
1st,"Carter,MasterWilliamT.II",11,Southampton,"BrynMawr,PA",male,yes
1st,"Case,MrHowardBrown",49,Southampton,"Ascot,Berkshire/Rochester,NY",male,no
1st,"Cassebeer,MrsHenryArthurjr(GenevieveFosdick)",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Cavendish,MrTyrellWilliam",36,Southampton,"LittleOnnHall,Staffs",male,no
1st,"Cavendish,MrsTyrellWilliamJuliaFlorenceSiegel",NA,Southampton,"LittleOnnHall,Staffs",female,yes
1st,"Chaffee,MrHerbertFuller",46,Southampton,"Amenia,ND",male,no
1st,"Chaffee,MrsHerbertFuller(CarrieConstanceToogood)",47,Southampton,"Amenia,ND",female,yes
1st,"Chambers,MrNormanCampbell",27,Southampton,"NewYork,NY/Ithaca,NY",male,yes
1st,"Chambers,MrsNormanCampbell(BerthaGriggs)",31,Southampton,"NewYork,NY/Ithaca,NY",female,yes
1st,"Cherry,MissGladys",NA,Southampton,"London,England",female,yes
1st,"Chevre,MrPaul",NA,Cherbourg,"Paris,France",male,yes
1st,"Chibnall(Bowerman),MrsEdithMartha",NA,Southampton,"StLeonards-on-Sea,EnglandOhio",female,yes
1st,"Chisholm,MrRoderickRobert",NA,NA,"Liverpool,England/Belfast",male,no
1st,"Clark,MrWalterMiller",27,Cherbourg,"LosAngeles,CA",male,no
1st,"Clark,MrsWalterMiller(VirginiaMcDowell)",26,Cherbourg,"LosAngeles,CA",female,yes
1st,"Clifford,MrGeorgeQuincy",NA,Southampton,"Stoughton,MA",male,no
1st,"Colley,MrEdwardPomeroy",NA,Southampton,"Victoria,BC",male,no
1st,"Compton,MrsAlexanderTaylor(MaryElizaIngersoll)",64,Cherbourg,"Lakewood,NJ",female,yes
1st,"Compton,MrAlexanderTaylor,Jr",37,Cherbourg,"Lakewood,NJ",male,no
1st,"Compton,MissSaraRebecca",39,Cherbourg,"Lakewood,NJ",female,yes
1st,"Cornell,MrsRobertClifford(MalvinaHelenLamson)",55,Southampton,"NewYork,NY",female,yes
1st,"Crafton,MrJohnBertram",NA,Southampton,"Roachdale,IN",male,no
1st,"Crosby,CaptainEdwardGifford",70,Southampton,"Milwaukee,WI",male,no
1st,"Crosby,MrsEdwardGifford(CatherineElizabethHalstead)",69,Southampton,"Milwaukee,WI",female,yes
1st,"Crosby,MissHarrietR.",36,Southampton,"Milwaukee,WI",female,yes
1st,"Cumings,MrJohnBradley",39,Cherbourg,"NewYork,NY",male,no
1st,"Cumings,MrsJohnBradley(FlorenceBriggsThayer)",38,Cherbourg,"NewYork,NY",female,yes
1st,"Daly,MrPeterDenis",NA,Southampton,"Lima,Peru",male,yes
1st,"Daniel,MrRobertWilliams",27,Southampton,"Philadelphia,PA",male,yes
